player_id,playerName,numPasses
125286,Giancarlo Gonz\u00e1lez Castro,1034
70112,Ezequiel Marcelo Garay,1034
393228,Malang Sarr,1030
276944,,1030
8433,Stephen Ward,1029
40301,Lucas Pedro Alves De Lima,1028
134369,Max  Meyer,1028
20816,\u00c9dgar Osvaldo Barreto C\u00e1ceres,1028
15811,Sebastian Rudy,1027
14715,Holger Badstuber,1025
43051,Gabriel Appelt Pires,1025
221411,Philipp Max,1024
3413,Ander Herrera Ag\u00fcera,1023
20472,Simone Padoin,1023
14806,Mario G\u00f6tze,1022
244357,Bongani Zungu,1020
20820,Josip Ili\u010di\u0107,1020
425925,Kai Havertz,1019
107,Erik Pieters,1018
14853,Christian Fuchs,1017
25993,Vitorino Hilton da Silva,1017
3523,Florian Lejeune,1017
265673,Bernardo Mota Veiga de Carvalho e Silva,1017
105361,Ivan Strini\u0107,1017
292991,Mauricio Lemos Merladet,1016
252365,DeAndre Yedlin,1014
21279,Emiliano Moretti,1013
7853,Kieran  Gibbs,1012
28528,Jordan Ikoko,1007
241966,Gideon Jung,1007
142755,Bertrand Isidore Traor\u00e9,1004
354547,Jakub Jankto,1004
20402,Kevin-Prince Boateng,1002
9227,Matt Ritchie,1001
3573,J\u00e9r\u00e9my Toulalan,1001
7932,Darren  Fletcher,1000
25392,Bakary Kon\u00e9,999
24838,Gaetano Letizia,998
25990,Mathieu Deplagne,997
25381,Hugo Lloris,997
4361,Javi Castellano Betancor,997
22732,Fabio Pisacane,997
7989,Dan Gosling,996
25410,Alassane Pl\u00e9a,996
138174,Karol Linetty,995
360992,Denis Lemi Zakaria Lako Lado,994
230895,Pere Pons Riera,994
214220,Alisson Rams\u00e9s Becker,994
25854,Kurt Happy Zouma,993
15399,Daniel Brosinski,992
144867,K\u00e9vin Malcuit,991
25440,Javier Mat\u00edas Pastore,989
25747,Sadio Man\u00e9,988
3705,Adri\u00e1n  Gonz\u00e1lez Morales,987
70092,Steven Defour,986
25804,Moussa Sissoko,985
8311,Stefan Savi\u0107,984
14911,Heung-Min Son,982
15487,Janik Haberer,982
3572,Francisco Portillo Soler,981
135561,Florian Grillitsch,980
20433,Simon Thorup Kj\u00e6r,980
29640,Mario Lemina,979
3322,Cristiano Ronaldo dos Santos Aveiro,978
20495,Massimo Gobbi,978
250805,Djen\u00e9 Dakonam Ortega,978
282438,Aar\u00f3n Mart\u00edn Caricol,977
22185,Bruno Martella,977
4015,Pablo Sarabia Garc\u00eda,977
14775,Bastian Oczipka,976
3339,Mart\u00edn Montoya Torralbo,976
14990,Fallou Diagne,975
20815,Andrea Barberis,975
3278,Bruno Saltor Grau,974
8471,Andros Townsend,972
22093,Antonio Aldo Caracciolo,972
20776,Luca Rossettini,972
7920,Rafael Pereira da Silva,971
134392,Kevin Akpoguma,970
14885,Dennis Aogo,970
14836,Takashi Inui,969
8013,Marc Albrighton,967
25950,Anthony Knockaert,966
10131,Jordan Pickford,965
86301,Lucas  Nahuel Castro,965
91702,Johan Andr\u00e9s Mojica Palacio,964
222770,N\u00e9lson Cabral Semedo,963
288663,Mattia Caldara,962
105334,Douglas  Costa de Souza,961
20401,Alberto Aquilani,961
77546,Ashley Williams,958
71703,Victor Nilsson Lindel\u00f6f,958
120353,Mohamed  Salah Ghaly,957
247671,,956
352986,,956
286917,Fod\u00e9  Ballo Tour\u00e9,955
8889,Adrian Mariappa,954
209086,Morgan Sanson,954
4452,Yuri Berchiche Izeta,954
25411,Jimmy Briand,954
21655,Adrian Marius Stoian,954
413582,,952
25800,\u00c9tienne Didot,950
208694,Rodrigo Ely,950
284960,Lorenzo Venuti,948
328336,Mohamed Salim Fares,946
20418,Stephan El Shaarawy,944
7585,Manuel Alejandro Garc\u00eda S\u00e1nchez,944
25937,Fran\u00e7ois Bellugou,943
278288,Aritz Elustondo Irribaria,942
20938,Valon Behrami,942
8245,Phil Jagielka,941
120339,Mohamed Naser Elsayed Elneny,941
21288,Miguel Lu\u00eds Pinto Veloso,938
7858,Bacary Sagna,938
3409,Mikel San Jos\u00e9 Dom\u00ednguez,937
105338,Henrikh Mkhitaryan,933
14706,Aaron Hunt,931
3678,Xabier Prieto Argarate,931
15008,Marc-Andr\u00e9 ter Stegen,931
29291,Jimmy Giraudon,930
14692,Philipp Bargfrede,930
93,Johann  Berg Gu\u00f0munds\u00adson,929
237034,Gon\u00e7alo Manuel Ganchinho Guedes,929
65027,Stefan Ilsanker,929
340920,Ludovic Blas,928
275384,Jorge Mer\u00e9 P\u00e9rez,928
69409,\u0160ime Vrsaljko,927
3496,Sergio Postigo Redondo,926
3650,Tom\u00e1s Pina Isla,922
3526,Mateo Pablo Musacchio,921
20689,Gast\u00f3n Exequiel Ram\u00edrez Pereyra,919
92899,Jos\u00e9 Holebas,918
37725,Cheikhou Kouyat\u00e9,917
49968,Roman B\u00fcrki,917
4238,M\u00edchel Macedo Rocha Machado,917
8460,Adam Smith,916
336829,Robin Koch,916
230862,\u00cd\u00f1igo Lekue Mart\u00ednez,916
15772,Matthias Ostrzolek,914
258252,Lukas Klostermann,910
372752,Carlos Soler Barrag\u00e1n,910
29616,Pablo Martinez,909
272440,Maximilian Eggestein,909
69404,Mateo Kova\u010di\u0107,909
328333,Lorenzo Pellegrini,909
21370,Marco Capuano,907
19525,Alexander Schwolow,906
447804,Federico Chiesa,906
4498,Lucas V\u00e1zquez Iglesias,906
279533,Mario Hermoso Canseco,906
20751,Juan Guillermo Cuadrado Bello,905
134540,Layvin Kurzawa,904
8136,Jack Stephens,904
213948,Rodrigo Javier de Paul,904
395114,Igor Zubeld\u00eda Elorza,904
4786,Iv\u00e1n Balliu Campeny,903
8625,Victor Moses,902
149019,Danny Simpson,902
15795,Koen Casteels,902
8488,Wes Morgan,899
3568,Jos\u00e9 Luis Garc\u00eda del Pozo,899
69411,Andrej Kramari\u0107,898
85113,Alin Dorinel To\u0219ca,898
454,Patrick  van Aanholt,897
16432,Caiuby Francisco da Silva,897
8980,Jeff Hendrick,896
134508,Seko Fofana,895
165425,Dominik Kohr,894
55951,Luk\u00e1\u0161 Hr\u00e1deck\u00fd,894
77558,Gylfi \u00de\u00f3r Sigur\u00f0sson,893
26000,Bryan Dabo,892
4332,Javier Fuego Mart\u00ednez,892
15276,Mitchell Weiser,890
14768,Bernd Leno,889
295761,Samuel Grandsir,887
169002,Diego Rico Salguero,887
25846,Yoann Andreu,885
206318,Davide Biraschi,885
70507,Paulo Andr\u00e9 Rodrigues de Oliveira,883
263802,Youri Tielemans,881
68085,Christian Kabasele,881
208696,Matteo Politano,881
3296,Antonio Ad\u00e1n Garrido,881
297957,Manuel Akanji,879
93000,Vitorino Gabriel  Pacheco Antunes,879
228928,Adam Maru\u0161i\u0107,879
209209,Flavien Tait,878
350976,Ben Chilwell,878
